Team,all_games_ATS Record,all_games_Cover %,all_games_MOV,all_games_ATS +/-,equal_rest_ATS Record,equal_rest_Cover %,equal_rest_MOV,equal_rest_ATS +/-,four_plus_days_off_ATS Record,four_plus_days_off_Cover %,four_plus_days_off_MOV,four_plus_days_off_ATS +/-,is_after_loss_ATS Record,is_after_loss_Cover %,is_after_loss_MOV,is_after_loss_ATS +/-,is_after_win_ATS Record,is_after_win_Cover %,is_after_win_MOV,is_after_win_ATS +/-,is_away_ATS Record,is_away_Cover %,is_away_MOV,is_away_ATS +/-,is_dog_ATS Record,is_dog_Cover %,is_dog_MOV,is_dog_ATS +/-,is_fav_ATS Record,is_fav_Cover %,is_fav_MOV,is_fav_ATS +/-,is_home_ATS Record,is_home_Cover %,is_home_MOV,is_home_ATS +/-,no_rest_ATS Record,no_rest_Cover %,no_rest_MOV,no_rest_ATS +/-,one_day_off_ATS Record,one_day_off_Cover %,one_day_off_MOV,one_day_off_ATS +/-,rest_advantage_ATS Record,rest_advantage_Cover %,rest_advantage_MOV,rest_advantage_ATS +/-,rest_disadvantage_ATS Record,rest_disadvantage_Cover %,rest_disadvantage_MOV,rest_disadvantage_ATS +/-,two_three_days_off_ATS Record,two_three_days_off_Cover %,two_three_days_off_MOV,two_three_days_off_ATS +/-
San Antonio,11-11-0,50.0%,-0.9,1.8,2-8-0,20.0%,-4.6,-4.1,0-1-0,0.0%,-11.0,-2.5,7-3-0,70.0%,-0.9,3.6,4-7-0,36.4%,0.1,0.5,4-5-0,44.4%,-6.0,0.1,7-8-0,46.7%,-4.3,1.5,4-3-0,57.1%,6.4,2.3,7-6-0,53.9%,2.7,2.9,2-2-0,50.0%,-1.0,1.4,6-8-0,42.9%,-1.8,0.0,6-0-0,100.0%,8.5,13.1,3-3-0,50.0%,-4.0,0.2,3-0-0,100.0%,7.0,11.8
Detroit,11-12-1,47.8%,-3.0,0.7,6-9-1,40.0%,-4.2,-0.5,0-1-0,0.0%,-6.0,-0.5,8-6-0,57.1%,-0.9,3.2,3-5-1,37.5%,-5.9,-3.2,7-5-1,58.3%,0.1,4.4,9-7-1,56.3%,-5.1,1.4,2-5-0,28.6%,2.0,-1.0,4-7-0,36.4%,-6.6,-3.7,3-2-1,60.0%,-6.0,0.1,8-7-0,53.3%,-0.5,2.6,0-2-0,0.0%,0.0,-3.3,5-1-0,83.3%,-0.8,5.0,0-2-0,0.0%,-11.5,-11.3
Miami,9-11-0,45.0%,2.3,1.1,5-9-0,35.7%,0.1,-0.4,1-1-0,50.0%,-7.0,-9.3,7-3-0,70.0%,6.9,7.3,2-7-0,22.2%,-0.4,-3.3,5-6-0,45.5%,-0.3,0.4,3-4-0,42.9%,-5.6,-0.6,6-7-0,46.2%,6.5,2.0,4-5-0,44.4%,5.4,1.9,1-2-0,33.3%,0.7,1.5,4-8-0,33.3%,1.4,0.5,3-0-0,100.0%,8.7,7.3,1-2-0,33.3%,6.0,1.8,3-0-0,100.0%,13.7,10.0
Atlanta,10-13-0,43.5%,-1.8,-0.9,4-6-0,40.0%,-0.3,-0.8,0-1-0,0.0%,4.0,-2.5,5-6-0,45.5%,-2.4,-0.5,5-6-0,45.5%,-1.7,-1.2,6-6-0,50.0%,-2.8,0.1,7-4-0,63.6%,-3.4,4.0,3-9-0,25.0%,-0.3,-5.5,4-7-0,36.4%,-0.7,-2.0,1-4-0,20.0%,-8.0,-8.4,7-7-0,50.0%,-0.6,1.2,4-2-0,66.7%,1.0,2.7,2-5-0,28.6%,-6.3,-4.1,2-1-0,66.7%,1.0,2.3
Utah,9-12-0,42.9%,-10.3,-3.0,3-7-0,30.0%,-14.0,-7.6,1-0-0,100.0%,-2.0,0.5,7-9-0,43.8%,-10.4,-2.6,1-3-0,25.0%,-12.0,-5.9,5-5-0,50.0%,-10.3,-1.3,9-12-0,42.9%,-10.3,-3.0,,,,,4-7-0,36.4%,-10.4,-4.6,1-3-0,25.0%,-12.0,-4.1,6-5-0,54.6%,-9.4,-1.8,2-3-0,40.0%,-12.8,-5.4,4-2-0,66.7%,-2.2,6.4,1-4-0,20.0%,-12.8,-5.7
Boston,9-13-0,40.9%,10.3,0.3,5-4-0,55.6%,10.2,3.1,1-0-0,100.0%,23.0,17.0,3-1-0,75.0%,15.8,4.9,5-12-0,29.4%,8.2,-1.8,5-6-0,45.5%,11.5,1.9,0-1-0,0.0%,-4.0,-2.5,9-12-0,42.9%,11.0,0.4,4-7-0,36.4%,9.1,-1.3,3-1-0,75.0%,21.5,11.4,5-8-0,38.5%,6.9,-2.5,2-5-0,28.6%,10.3,-0.9,2-4-0,33.3%,10.3,-2.5,0-4-0,0.0%,6.8,-5.9
Milwaukee,8-12-1,40.0%,1.1,-2.5,7-3-1,70.0%,6.9,2.1,1-0-0,100.0%,15.0,11.0,3-6-0,33.3%,-2.0,-3.9,4-6-1,40.0%,2.4,-2.5,4-5-0,44.4%,-3.7,-3.3,2-3-0,40.0%,-7.6,-0.8,6-9-1,40.0%,3.8,-3.0,4-7-1,36.4%,4.7,-1.8,0-4-1,0.0%,-7.0,-7.8,4-5-0,44.4%,1.1,-2.7,1-4-0,20.0%,-2.0,-6.2,0-5-0,0.0%,-8.6,-8.8,3-3-0,50.0%,5.5,0.1
Minnesota,8-13-0,38.1%,3.5,-2.2,3-7-0,30.0%,2.7,-4.2,0-1-0,0.0%,-7.0,-8.0,4-6-0,40.0%,-1.0,-5.1,4-6-0,40.0%,9.0,1.3,5-5-0,50.0%,0.4,-3.5,1-0-0,100.0%,-2.0,6.0,7-13-0,35.0%,3.8,-2.6,3-8-0,27.3%,6.3,-1.0,1-3-0,25.0%,-1.0,-8.0,4-6-0,40.0%,4.9,-1.8,4-3-0,57.1%,10.1,4.6,1-3-0,25.0%,-6.3,-8.9,3-3-0,50.0%,5.8,2.0
Phoenix,8-13-0,38.1%,-0.2,-1.5,3-7-0,30.0%,-2.3,-2.5,1-1-0,50.0%,15.0,11.3,5-3-0,62.5%,1.3,3.6,3-9-0,25.0%,-1.5,-4.9,4-5-0,44.4%,-3.7,-2.4,3-5-0,37.5%,-7.8,-2.8,5-8-0,38.5%,4.4,-0.8,4-8-0,33.3%,2.3,-0.9,1-3-0,25.0%,-7.8,-6.1,3-9-0,25.0%,-2.4,-3.6,3-1-0,75.0%,12.5,5.9,2-5-0,28.6%,-4.6,-4.4,3-0-0,100.0%,8.3,4.3
Denver,7-12-1,36.8%,1.1,-1.3,4-7-1,36.4%,-3.5,-4.1,0-2-0,0.0%,-11.0,-13.0,4-4-0,50.0%,8.5,5.2,3-7-1,30.0%,-2.9,-4.6,4-6-0,40.0%,2.2,1.6,4-2-0,66.7%,1.5,6.5,3-10-1,23.1%,0.9,-4.7,3-6-1,33.3%,-0.1,-4.2,2-1-0,66.7%,18.7,14.5,4-7-1,36.4%,-0.3,-2.5,1-2-0,33.3%,2.7,-2.5,2-3-0,40.0%,11.0,6.0,1-2-0,33.3%,-3.3,-4.7
LA Lakers,8-14-0,36.4%,-4.3,-6.6,5-7-0,41.7%,-3.2,-4.5,1-0-0,100.0%,7.0,8.0,2-7-0,22.2%,-11.0,-12.5,5-7-0,41.7%,-0.2,-3.4,3-9-0,25.0%,-9.9,-10.6,2-6-0,25.0%,-17.9,-14.2,6-8-0,42.9%,3.5,-2.3,5-5-0,50.0%,2.5,-1.8,2-2-0,50.0%,-0.5,-1.5,4-8-0,33.3%,-6.5,-8.5,2-5-0,28.6%,-0.6,-6.8,1-2-0,33.3%,-17.3,-14.5,1-4-0,20.0%,-4.2,-8.9
Sacramento,8-14-1,36.4%,0.4,-3.5,5-6-0,45.5%,1.5,-2.8,0-1-0,0.0%,-2.0,-1.0,5-6-1,45.5%,1.8,-1.6,3-7-0,30.0%,-1.1,-6.1,5-6-0,45.5%,-1.0,-3.5,3-5-0,37.5%,-1.9,0.0,5-9-1,35.7%,1.6,-5.4,3-8-1,27.3%,1.7,-3.5,1-4-0,20.0%,-4.6,-9.0,6-8-1,42.9%,2.8,-1.1,3-4-1,42.9%,4.0,0.3,0-4-0,0.0%,-9.8,-12.9,1-1-0,50.0%,-4.0,-9.0
Philadelphia,7-13-0,35.0%,-6.2,-4.7,4-8-0,33.3%,-7.4,-5.2,0-1-0,0.0%,-15.0,-11.0,5-9-0,35.7%,-4.5,-2.8,2-3-0,40.0%,-9.2,-8.8,4-6-0,40.0%,-4.2,-3.0,4-8-0,33.3%,-10.1,-5.0,3-5-0,37.5%,-0.4,-4.1,3-7-0,30.0%,-8.2,-6.4,2-0-0,100.0%,-6.0,2.5,3-8-0,27.3%,-6.1,-4.8,1-5-0,16.7%,-7.0,-7.8,2-0-0,100.0%,3.5,7.5,2-4-0,33.3%,-5.0,-5.8
New Orleans,8-15-0,34.8%,-12.1,-7.4,5-11-0,31.3%,-13.1,-8.5,1-0-0,100.0%,12.0,7.0,6-12-0,33.3%,-13.9,-7.4,1-3-0,25.0%,-10.0,-10.9,2-10-0,16.7%,-18.9,-12.3,7-10-0,41.2%,-12.2,-4.6,1-5-0,16.7%,-11.7,-15.3,6-5-0,54.6%,-4.6,-2.0,1-4-0,20.0%,-15.6,-9.0,4-9-0,30.8%,-12.8,-8.5,2-2-0,50.0%,-11.3,-5.3,1-2-0,33.3%,-7.7,-4.3,2-2-0,50.0%,-11.3,-5.3
Indiana,7-15-1,31.8%,-4.8,-6.5,5-9-1,35.7%,-3.7,-6.1,1-0-0,100.0%,6.0,0.5,5-7-1,41.7%,-3.3,-3.1,1-8-0,11.1%,-8.1,-12.2,3-10-0,23.1%,-9.4,-8.9,4-5-0,44.4%,-6.2,-1.4,3-10-1,23.1%,-3.9,-9.8,4-5-1,44.4%,1.2,-3.4,1-3-0,25.0%,-5.0,-7.3,4-11-1,26.7%,-6.2,-8.1,1-1-0,50.0%,1.5,4.3,1-5-0,16.7%,-9.7,-11.2,1-1-0,50.0%,1.5,4.3
Washington,5-14-1,26.3%,-16.9,-6.3,2-7-1,22.2%,-16.7,-6.4,0-1-0,0.0%,-20.0,-6.0,4-12-1,25.0%,-18.2,-7.4,1-1-0,50.0%,-3.5,3.8,3-6-1,33.3%,-16.6,-5.2,5-14-1,26.3%,-16.9,-6.3,,,,,2-8-0,20.0%,-17.1,-7.4,0-3-0,0.0%,-22.7,-10.8,3-7-1,30.0%,-13.8,-4.8,2-4-0,33.3%,-17.3,-5.7,1-3-0,25.0%,-16.5,-6.9,2-3-0,40.0%,-19.4,-6.8
